Company, Heuresis Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Pb200i,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type, XRF Lead Paint Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Num.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Version, Pb200i-4.1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color
,195,0.5,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,4,5/4/2022,12:24:57,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Dining Room,C,Window,Sill,Wood,Deteriorated,,Tan
,196,0.6,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:25:21,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Dining Room,C,Window,Sash,Wood,Deteriorated,,Tan
,197,3.1,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:25:49,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Dining Room,C,Window,Frame,Wood,Deteriorated,,Tan
,198,4.9,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:26:57,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Living Room,D,Window,Frame,Wood,Intact,,Brown
,199,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:27:25,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Living Room,D,Room,Wall,Drywall,Intact,,White
,200,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:27:44,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Living Room,D,Window,Sash,Wood,Intact,,Brown
,201,6.4,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:28:17,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Living Room,D,Window,Sill,Wood,Intact,,Brown
,202,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:29:01,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Living Room,C,Door,Jamb,Wood,Intact,,White
,203,0.3,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:29:19,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Living Room,C,Door,Frame,Wood,Intact,,Brown
,204,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:35:23,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 2,D,Window,Sill,Wood,Intact,,White
,205,1.1,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,12:35:43,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 2,D,Window,Sash,Wood,Intact,,White
,206,2.2,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:36:31,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 2,D,Window,Frame,Wood,Intact,,White
,207,3.4,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:37:37,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 2,C,Door,,Wood,Intact,,White
,208,5.7,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:38:08,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 2,C,Door,Jamb,Wood,Intact,,White
,209,2.3,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:38:37,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 2,C,Door,Frame,Wood,Intact,,White
,210,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:39:35,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Foyer,C,Room,Floor,Wood,Intact,,Blue
,211,-0.5,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:40:59,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Hallway,C,Room,Wall,Drywall,Intact,,Green
,212,2.9,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:42:14,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Hallway,C,Stair,,Wood,Intact,,White
