Company, Heuresis Corp.
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2009
App Version, Pb200i-4.1-11

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,24,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:41:26,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Living Room,A,Door,Jamb,Wood,Deteriorated,,Brown,
,25,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:41:42,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Living Room,A,Door,Frame,Wood,Deteriorated,,Brown,
,26,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:42:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Living Room,A,Door,---,Wood,Intact,,White,
,27,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:42:31,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Living Room,C,Room,Baseboard,Wood,Intact,,Brown,
,28,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:42:51,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Living Room,C,Room,Wall,Wood,Intact,,Brown,
,29,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:44:12,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 1,D,Door,,Wood,Deteriorated,,Brown,
,30,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:44:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 1,D,Door,Jamb,Wood,Deteriorated,,Brown,
,31,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:44:49,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 1,D,Room,Wall,Wood,Intact,,Brown,
,32,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:45:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 1,B,Window,Sill,Wood,Intact,,Brown,
,33,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:45:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Bedroom 1,B,Window,Frame,Wood,Intact,,Brown,
